00001MARIA SILVA         0750085005000900F
00002JOAO SANTOS         0825065007500700M
00003ANA OLIVEIRA        0950092508800925F
00004PEDRO COSTA         0450060005500625M
00005JULIANA FERNANDES   1000097509800975F
00006CARLOS ALVES        0725080006500750M
00007FERNANDA LIMA       0885090009200900F
00008LUCAS PEREIRA       0550062507000685M
00009AMANDA ROCHA        0925085008900910F
00010RAFAEL MARTINS      0630072507800720M
00011LETICIA SOUZA       0780085008200850F
00012BRUNO NEVES         0850090008700880M
00013CAMILA CASTRO       0900095009300940F
00014DIEGO RAMOS         0525057506000580M
00015PATRICIA GOMES      0960087509100930F
00016FABIO CARVALHO      0740078008100790M
00017VANESSA BARROS      0890091008950905F
00018RODRIGO TEIXEIRA    0670069007200710M
00019TATIANE NASCIMENTO  0935094509500960F
00020GUSTAVO LOPES       0580064006900660M
