01Maria Silva                   SP
02Joao Santos                   RJ
03Ana Oliveira                  MG
04Pedro Costa                   XX
05Carla Fernandes               BA
06Lucas Almeida                   
07Juliana Pereira               SC
08Marcos Rodrigues              PE
09Fernanda Lima                 CE
10Ricardo Barbosa               YY
11Amanda Dias                   PA
12Roberto Nunes                 MA
13Patricia Castro               ES
14Daniel Martins                MT
15Camila Rocha                  MS
16Gustavo Henrique              AL
17Tatiane Souza                 SE
18Rafael Monteiro               RN
19Leticia Cardoso               PI
20Bruno Ferreira                AM
21                              AC
22Antonio Bezerra                 
23Carlos Eduardo                XX
24                              YY
25Mariana Santos                ZZ
26Paulo Roberto                   
27                              RJ
28Luciana Ferreira              MG
29                              TO
30Roberta Almeida               DF
31                              RS
32Felipe Costa                  RS
33                              PR
34Gabriela Rocha                  
35                              CE
36Henrique Silva                  
37                              MA
38Isabela Martins                 
39                              RN
40Jose Carlos                   PB
41                              PA
42Laura Mendes                  AP
43                              AM
44Mateus Oliveira               RR
45                              RO
46Natalia Costa                   
47                                
48Otavio Pereira                GO
49                              SE
50Patricia Lima                 ES
