01Maria Silva                   SP
02Joao Santos                   RJ
03Ana Oliveira                  MG
05Carla Fernandes               BA
07Juliana Pereira               SC
08Marcos Rodrigues              PE
09Fernanda Lima                 CE
11Amanda Dias                   PA
12Roberto Nunes                 MA
13Patricia Castro               ES
14Daniel Martins                MT
15Camila Rocha                  MS
16Gustavo Henrique              AL
17Tatiane Souza                 SE
18Rafael Monteiro               RN
19Leticia Cardoso               PI
20Bruno Ferreira                AM
28Luciana Ferreira              MG
30Roberta Almeida               DF
32Felipe Costa                  RS
40Jose Carlos                   PB
42Laura Mendes                  AP
44Mateus Oliveira               RR
48Otavio Pereira                GO
50Patricia Lima                 ES
