04Pedro Costa                   XX
06Lucas Almeida
10Ricardo Barbosa               YY
21                              AC
22Antonio Bezerra
23Carlos Eduardo                XX
24                              YY
25Mariana Santos                ZZ
26Paulo Roberto
27                              RJ
29                              TO
31                              RS
33                              PR
34Gabriela Rocha
35                              CE
36Henrique Silva
37                              MA
38Isabela Martins
39                              RN
41                              PA
43                              AM
45                              RO
46Natalia Costa
47
49                              SE
